Periodo,termo,valor (%)
2023-07-09,Eficiência Energética,25
2023-07-16,Eficiência Energética,28
2023-07-23,Eficiência Energética,20
2023-07-30,Eficiência Energética,50
2023-08-06,Eficiência Energética,49
2023-08-13,Eficiência Energética,54
2023-08-20,Eficiência Energética,38
2023-08-27,Eficiência Energética,40
2023-09-03,Eficiência Energética,42
2023-09-10,Eficiência Energética,55
2023-09-17,Eficiência Energética,59
2023-09-24,Eficiência Energética,57
2023-10-01,Eficiência Energética,51
2023-10-08,Eficiência Energética,28
2023-10-15,Eficiência Energética,41
2023-10-22,Eficiência Energética,53
2023-10-29,Eficiência Energética,38
2023-11-05,Eficiência Energética,35
2023-11-12,Eficiência Energética,51
2023-11-19,Eficiência Energética,59
2023-11-26,Eficiência Energética,50
2023-12-03,Eficiência Energética,33
2023-12-10,Eficiência Energética,32
2023-12-17,Eficiência Energética,41
2023-12-24,Eficiência Energética,22
2023-12-31,Eficiência Energética,18
2024-01-07,Eficiência Energética,22
2024-01-14,Eficiência Energética,25
2024-01-21,Eficiência Energética,24
2024-01-28,Eficiência Energética,30
2024-02-04,Eficiência Energética,22
2024-02-11,Eficiência Energética,29
2024-02-18,Eficiência Energética,32
2024-02-25,Eficiência Energética,46
2024-03-03,Eficiência Energética,57
2024-03-10,Eficiência Energética,43
2024-03-17,Eficiência Energética,44
2024-03-24,Eficiência Energética,46
2024-03-31,Eficiência Energética,57
2024-04-07,Eficiência Energética,48
2024-04-14,Eficiência Energética,75
2024-04-21,Eficiência Energética,72
2024-04-28,Eficiência Energética,59
2024-05-05,Eficiência Energética,49
2024-05-12,Eficiência Energética,57
2024-05-19,Eficiência Energética,64
2024-05-26,Eficiência Energética,58
2024-06-02,Eficiência Energética,75
2024-06-09,Eficiência Energética,100
2024-06-16,Eficiência Energética,77
2024-06-23,Eficiência Energética,72
2024-06-30,Eficiência Energética,42
2024-07-07,Eficiência Energética,37
2023-07-09,Energia Elétrica,43
2023-07-16,Energia Elétrica,37
2023-07-23,Energia Elétrica,39
2023-07-30,Energia Elétrica,45
2023-08-06,Energia Elétrica,53
2023-08-13,Energia Elétrica,100
2023-08-20,Energia Elétrica,59
2023-08-27,Energia Elétrica,57
2023-09-03,Energia Elétrica,48
2023-09-10,Energia Elétrica,59
2023-09-17,Energia Elétrica,66
2023-09-24,Energia Elétrica,63
2023-10-01,Energia Elétrica,53
2023-10-08,Energia Elétrica,48
2023-10-15,Energia Elétrica,59
2023-10-22,Energia Elétrica,62
2023-10-29,Energia Elétrica,68
2023-11-05,Energia Elétrica,77
2023-11-12,Energia Elétrica,67
2023-11-19,Energia Elétrica,70
2023-11-26,Energia Elétrica,57
2023-12-03,Energia Elétrica,50
2023-12-10,Energia Elétrica,43
2023-12-17,Energia Elétrica,34
2023-12-24,Energia Elétrica,30
2023-12-31,Energia Elétrica,29
2024-01-07,Energia Elétrica,40
2024-01-14,Energia Elétrica,41
2024-01-21,Energia Elétrica,38
2024-01-28,Energia Elétrica,35
2024-02-04,Energia Elétrica,37
2024-02-11,Energia Elétrica,34
2024-02-18,Energia Elétrica,49
2024-02-25,Energia Elétrica,55
2024-03-03,Energia Elétrica,59
2024-03-10,Energia Elétrica,61
2024-03-17,Energia Elétrica,68
2024-03-24,Energia Elétrica,54
2024-03-31,Energia Elétrica,66
2024-04-07,Energia Elétrica,63
2024-04-14,Energia Elétrica,64
2024-04-21,Energia Elétrica,57
2024-04-28,Energia Elétrica,51
2024-05-05,Energia Elétrica,60
2024-05-12,Energia Elétrica,59
2024-05-19,Energia Elétrica,54
2024-05-26,Energia Elétrica,47
2024-06-02,Energia Elétrica,63
2024-06-09,Energia Elétrica,60
2024-06-16,Energia Elétrica,62
2024-06-23,Energia Elétrica,53
2024-06-30,Energia Elétrica,45
2024-07-07,Energia Elétrica,43
2023-07-09,Energia Eólica,39
2023-07-16,Energia Eólica,31
2023-07-23,Energia Eólica,43
2023-07-30,Energia Eólica,61
2023-08-06,Energia Eólica,67
2023-08-13,Energia Eólica,83
2023-08-20,Energia Eólica,77
2023-08-27,Energia Eólica,84
2023-09-03,Energia Eólica,62
2023-09-10,Energia Eólica,86
2023-09-17,Energia Eólica,88
2023-09-24,Energia Eólica,88
2023-10-01,Energia Eólica,65
2023-10-08,Energia Eólica,51
2023-10-15,Energia Eólica,79
2023-10-22,Energia Eólica,89
2023-10-29,Energia Eólica,67
2023-11-05,Energia Eólica,98
2023-11-12,Energia Eólica,90
2023-11-19,Energia Eólica,100
2023-11-26,Energia Eólica,81
2023-12-03,Energia Eólica,59
2023-12-10,Energia Eólica,38
2023-12-17,Energia Eólica,22
2023-12-24,Energia Eólica,10
2023-12-31,Energia Eólica,14
2024-01-07,Energia Eólica,20
2024-01-14,Energia Eólica,16
2024-01-21,Energia Eólica,21
2024-01-28,Energia Eólica,22
2024-02-04,Energia Eólica,25
2024-02-11,Energia Eólica,25
2024-02-18,Energia Eólica,38
2024-02-25,Energia Eólica,52
2024-03-03,Energia Eólica,63
2024-03-10,Energia Eólica,76
2024-03-17,Energia Eólica,75
2024-03-24,Energia Eólica,72
2024-03-31,Energia Eólica,80
2024-04-07,Energia Eólica,79
2024-04-14,Energia Eólica,71
2024-04-21,Energia Eólica,61
2024-04-28,Energia Eólica,55
2024-05-05,Energia Eólica,54
2024-05-12,Energia Eólica,69
2024-05-19,Energia Eólica,77
2024-05-26,Energia Eólica,52
2024-06-02,Energia Eólica,72
2024-06-09,Energia Eólica,79
2024-06-16,Energia Eólica,72
2024-06-23,Energia Eólica,51
2024-06-30,Energia Eólica,37
2024-07-07,Energia Eólica,36
2023-07-09,Energia Solar,67
2023-07-16,Energia Solar,65
2023-07-23,Energia Solar,62
2023-07-30,Energia Solar,79
2023-08-06,Energia Solar,69
2023-08-13,Energia Solar,77
2023-08-20,Energia Solar,84
2023-08-27,Energia Solar,77
2023-09-03,Energia Solar,68
2023-09-10,Energia Solar,79
2023-09-17,Energia Solar,85
2023-09-24,Energia Solar,94
2023-10-01,Energia Solar,91
2023-10-08,Energia Solar,76
2023-10-15,Energia Solar,91
2023-10-22,Energia Solar,90
2023-10-29,Energia Solar,81
2023-11-05,Energia Solar,98
2023-11-12,Energia Solar,100
2023-11-19,Energia Solar,98
2023-11-26,Energia Solar,80
2023-12-03,Energia Solar,76
2023-12-10,Energia Solar,78
2023-12-17,Energia Solar,75
2023-12-24,Energia Solar,70
2023-12-31,Energia Solar,69
2024-01-07,Energia Solar,82
2024-01-14,Energia Solar,88
2024-01-21,Energia Solar,84
2024-01-28,Energia Solar,77
2024-02-04,Energia Solar,75
2024-02-11,Energia Solar,76
2024-02-18,Energia Solar,80
2024-02-25,Energia Solar,80
2024-03-03,Energia Solar,83
2024-03-10,Energia Solar,87
2024-03-17,Energia Solar,95
2024-03-24,Energia Solar,84
2024-03-31,Energia Solar,83
2024-04-07,Energia Solar,83
2024-04-14,Energia Solar,74
2024-04-21,Energia Solar,76
2024-04-28,Energia Solar,73
2024-05-05,Energia Solar,77
2024-05-12,Energia Solar,80
2024-05-19,Energia Solar,86
2024-05-26,Energia Solar,70
2024-06-02,Energia Solar,81
2024-06-09,Energia Solar,77
2024-06-16,Energia Solar,81
2024-06-23,Energia Solar,74
2024-06-30,Energia Solar,68
2024-07-07,Energia Solar,66
