valor (%),extracted_value,link,serpapi_link,termo,texto,período
5000,122000,https://trends.google.com/trends/explore?q=o+que+%C3%A9+efici%C3%AAncia+energ%C3%A9tica+e+como+ela+pode+ajudar+a+mitigar+os+impactos+ambientais+da+tecnologia?&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=o+que+%C3%A9+efici%C3%AAncia+energ%C3%A9tica+e+como+ela+pode+ajudar+a+mitigar+os+impactos+ambientais+da+tecnologia%3F&tz=180,Eficiência Energética,o que é eficiência energética e como ela pode ajudar a mitigar os impactos ambientais da tecnologia?,1 ano
5000,93450,https://trends.google.com/trends/explore?q=qual+%C3%A9+um+problema+ambiental+significativo+gerado+pelo+descarte+inadequado+de+produtos+eletr%C3%B4nicos?&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=qual+%C3%A9+um+problema+ambiental+significativo+gerado+pelo+descarte+inadequado+de+produtos+eletr%C3%B4nicos%3F&tz=180,Eficiência Energética,qual é um problema ambiental significativo gerado pelo descarte inadequado de produtos eletrônicos?,1 ano
5000,36250,"https://trends.google.com/trends/explore?q=assim,+comparando+os+valores+dos+combust%C3%ADveis+acima+apresentados,+identifique+qual+combust%C3%ADvel+apresenta+maior+valor+de+energia+liberada.&date=today+12-m&geo=BR",https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=assim%2C+comparando+os+valores+dos+combust%C3%ADveis+acima+apresentados%2C+identifique+qual+combust%C3%ADvel+apresenta+maior+valor+de+energia+liberada.&tz=180,Eficiência Energética,"assim, comparando os valores dos combustíveis acima apresentados, identifique qual combustível apresenta maior valor de energia liberada.",1 ano
5000,28300,https://trends.google.com/trends/explore?q=qual+%C3%A9+um+exemplo+de+como+a+tecnologia+pode+ajudar+na+escassez+de+%C3%A1gua?&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=qual+%C3%A9+um+exemplo+de+como+a+tecnologia+pode+ajudar+na+escassez+de+%C3%A1gua%3F&tz=180,Eficiência Energética,qual é um exemplo de como a tecnologia pode ajudar na escassez de água?,1 ano
200,200,https://trends.google.com/trends/explore?q=efici%C3%AAncia+energ%C3%A9tica+na+ind%C3%BAstria&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=efici%C3%AAncia+energ%C3%A9tica+na+ind%C3%BAstria&tz=180,Eficiência Energética,eficiência energética na indústria,1 ano
50,50,https://trends.google.com/trends/explore?q=conceito+de+efici%C3%AAncia+energ%C3%A9tica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=conceito+de+efici%C3%AAncia+energ%C3%A9tica&tz=180,Eficiência Energética,conceito de eficiência energética,1 ano
50,50,https://trends.google.com/trends/explore?q=inmetro&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=inmetro&tz=180,Eficiência Energética,inmetro,1 ano
5000,37200,https://trends.google.com/trends/explore?q=apagao+nacional+energia+el%C3%A9trica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=apagao+nacional+energia+el%C3%A9trica&tz=180,Energia Elétrica,apagao nacional energia elétrica,1 ano
5000,5750,"https://trends.google.com/trends/explore?q=conhecida+como+revolu%C3%A7%C3%A3o+digital+e+revolu%C3%A7%C3%A3o+t%C3%A9cnico-cient%C3%ADfica,+suas+principais+caracter%C3%ADsticas+foram+a+produ%C3%A7%C3%A3o+flex%C3%ADvel;+a+automa%C3%A7%C3%A3o+industrial;+a+nanotecnologia;+a+biotecnologia;+a+mecatr%C3%B4nica;+a+microinform%C3%A1tica;+as+telecomunica%C3%A7%C3%B5es,+entre+outras+tecnologias.&date=today+12-m&geo=BR",https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=conhecida+como+revolu%C3%A7%C3%A3o+digital+e+revolu%C3%A7%C3%A3o+t%C3%A9cnico-cient%C3%ADfica%2C+suas+principais+caracter%C3%ADsticas+foram+a+produ%C3%A7%C3%A3o+flex%C3%ADvel%3B+a+automa%C3%A7%C3%A3o+industrial%3B+a+nanotecnologia%3B+a+biotecnologia%3B+a+mecatr%C3%B4nica%3B+a+microinform%C3%A1tica%3B+as+telecomunica%C3%A7%C3%B5es%2C+entre+outras+tecnologias.&tz=180,Energia Elétrica,"conhecida como revolução digital e revolução técnico-científica, suas principais características foram a produção flexível; a automação industrial; a nanotecnologia; a biotecnologia; a mecatrônica; a microinformática; as telecomunicações, entre outras tecnologias.",1 ano
5000,5500,https://trends.google.com/trends/explore?q=qual+das+alternativas+a+seguir+descreve+corretamente+o+caminho+que+a+energia+el%C3%A9trica+percorre+desde+sua+gera%C3%A7%C3%A3o+at%C3%A9+chegar+em+nossa+casa?&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=qual+das+alternativas+a+seguir+descreve+corretamente+o+caminho+que+a+energia+el%C3%A9trica+percorre+desde+sua+gera%C3%A7%C3%A3o+at%C3%A9+chegar+em+nossa+casa%3F&tz=180,Energia Elétrica,qual das alternativas a seguir descreve corretamente o caminho que a energia elétrica percorre desde sua geração até chegar em nossa casa?,1 ano
