Periodo,termo,valor (%)
2023-07-09,Eficiência Energética,1
2023-07-09,Energia Elétrica,30
2023-07-09,Energia Solar,67
2023-07-09,Energia Eólica,6
2023-07-16,Eficiência Energética,1
2023-07-16,Energia Elétrica,26
2023-07-16,Energia Solar,65
2023-07-16,Energia Eólica,4
2023-07-23,Eficiência Energética,1
2023-07-23,Energia Elétrica,27
2023-07-23,Energia Solar,62
2023-07-23,Energia Eólica,6
2023-07-30,Eficiência Energética,3
2023-07-30,Energia Elétrica,32
2023-07-30,Energia Solar,79
2023-07-30,Energia Eólica,9
2023-08-06,Eficiência Energética,3
2023-08-06,Energia Elétrica,37
2023-08-06,Energia Solar,69
2023-08-06,Energia Eólica,9
2023-08-13,Eficiência Energética,3
2023-08-13,Energia Elétrica,70
2023-08-13,Energia Solar,77
2023-08-13,Energia Eólica,12
2023-08-20,Eficiência Energética,2
2023-08-20,Energia Elétrica,41
2023-08-20,Energia Solar,84
2023-08-20,Energia Eólica,11
2023-08-27,Eficiência Energética,2
2023-08-27,Energia Elétrica,40
2023-08-27,Energia Solar,77
2023-08-27,Energia Eólica,12
2023-09-03,Eficiência Energética,2
2023-09-03,Energia Elétrica,33
2023-09-03,Energia Solar,68
2023-09-03,Energia Eólica,8
2023-09-10,Eficiência Energética,3
2023-09-10,Energia Elétrica,41
2023-09-10,Energia Solar,79
2023-09-10,Energia Eólica,12
2023-09-17,Eficiência Energética,3
2023-09-17,Energia Elétrica,46
2023-09-17,Energia Solar,85
2023-09-17,Energia Eólica,12
2023-09-24,Eficiência Energética,3
2023-09-24,Energia Elétrica,44
2023-09-24,Energia Solar,94
2023-09-24,Energia Eólica,13
2023-10-01,Eficiência Energética,3
2023-10-01,Energia Elétrica,37
2023-10-01,Energia Solar,91
2023-10-01,Energia Eólica,9
2023-10-08,Eficiência Energética,2
2023-10-08,Energia Elétrica,33
2023-10-08,Energia Solar,76
2023-10-08,Energia Eólica,8
2023-10-15,Eficiência Energética,2
2023-10-15,Energia Elétrica,41
2023-10-15,Energia Solar,91
2023-10-15,Energia Eólica,11
2023-10-22,Eficiência Energética,3
2023-10-22,Energia Elétrica,43
2023-10-22,Energia Solar,90
2023-10-22,Energia Eólica,13
2023-10-29,Eficiência Energética,2
2023-10-29,Energia Elétrica,47
2023-10-29,Energia Solar,81
2023-10-29,Energia Eólica,9
2023-11-05,Eficiência Energética,2
2023-11-05,Energia Elétrica,54
2023-11-05,Energia Solar,98
2023-11-05,Energia Eólica,14
2023-11-12,Eficiência Energética,3
2023-11-12,Energia Elétrica,47
2023-11-12,Energia Solar,100
2023-11-12,Energia Eólica,13
2023-11-19,Eficiência Energética,3
2023-11-19,Energia Elétrica,49
2023-11-19,Energia Solar,98
2023-11-19,Energia Eólica,14
2023-11-26,Eficiência Energética,3
2023-11-26,Energia Elétrica,40
2023-11-26,Energia Solar,80
2023-11-26,Energia Eólica,11
2023-12-03,Eficiência Energética,2
2023-12-03,Energia Elétrica,35
2023-12-03,Energia Solar,76
2023-12-03,Energia Eólica,8
2023-12-10,Eficiência Energética,2
2023-12-10,Energia Elétrica,30
2023-12-10,Energia Solar,78
2023-12-10,Energia Eólica,5
2023-12-17,Eficiência Energética,2
2023-12-17,Energia Elétrica,24
2023-12-17,Energia Solar,75
2023-12-17,Energia Eólica,3
2023-12-24,Eficiência Energética,1
2023-12-24,Energia Elétrica,21
2023-12-24,Energia Solar,70
2023-12-24,Energia Eólica,2
2023-12-31,Eficiência Energética,1
2023-12-31,Energia Elétrica,20
2023-12-31,Energia Solar,69
2023-12-31,Energia Eólica,2
2024-01-07,Eficiência Energética,1
2024-01-07,Energia Elétrica,28
2024-01-07,Energia Solar,82
2024-01-07,Energia Eólica,3
2024-01-14,Eficiência Energética,1
2024-01-14,Energia Elétrica,28
2024-01-14,Energia Solar,88
2024-01-14,Energia Eólica,3
2024-01-21,Eficiência Energética,1
2024-01-21,Energia Elétrica,27
2024-01-21,Energia Solar,84
2024-01-21,Energia Eólica,3
2024-01-28,Eficiência Energética,2
2024-01-28,Energia Elétrica,24
2024-01-28,Energia Solar,77
2024-01-28,Energia Eólica,3
2024-02-04,Eficiência Energética,2
2024-02-04,Energia Elétrica,26
2024-02-04,Energia Solar,75
2024-02-04,Energia Eólica,4
2024-02-11,Eficiência Energética,2
2024-02-11,Energia Elétrica,24
2024-02-11,Energia Solar,76
2024-02-11,Energia Eólica,3
2024-02-18,Eficiência Energética,2
2024-02-18,Energia Elétrica,34
2024-02-18,Energia Solar,80
2024-02-18,Energia Eólica,6
2024-02-25,Eficiência Energética,2
2024-02-25,Energia Elétrica,38
2024-02-25,Energia Solar,80
2024-02-25,Energia Eólica,7
2024-03-03,Eficiência Energética,3
2024-03-03,Energia Elétrica,41
2024-03-03,Energia Solar,83
2024-03-03,Energia Eólica,9
2024-03-10,Eficiência Energética,2
2024-03-10,Energia Elétrica,43
2024-03-10,Energia Solar,87
2024-03-10,Energia Eólica,10
2024-03-17,Eficiência Energética,3
2024-03-17,Energia Elétrica,47
2024-03-17,Energia Solar,95
2024-03-17,Energia Eólica,11
2024-03-24,Eficiência Energética,2
2024-03-24,Energia Elétrica,38
2024-03-24,Energia Solar,84
2024-03-24,Energia Eólica,10
2024-03-31,Eficiência Energética,3
2024-03-31,Energia Elétrica,46
2024-03-31,Energia Solar,83
2024-03-31,Energia Eólica,12
2024-04-07,Eficiência Energética,2
2024-04-07,Energia Elétrica,44
2024-04-07,Energia Solar,83
2024-04-07,Energia Eólica,11
2024-04-14,Eficiência Energética,4
2024-04-14,Energia Elétrica,45
2024-04-14,Energia Solar,74
2024-04-14,Energia Eólica,10
2024-04-21,Eficiência Energética,4
