Periodo,termo,valor (%)
2019-07-07,Eficiência Energética,1
2019-07-07,Energia Elétrica,17
2019-07-07,Energia Solar,46
2019-07-07,Energia Eólica,4
2019-07-14,Eficiência Energética,1
2019-07-14,Energia Elétrica,16
2019-07-14,Energia Solar,42
2019-07-14,Energia Eólica,3
2019-07-21,Eficiência Energética,1
2019-07-21,Energia Elétrica,15
2019-07-21,Energia Solar,48
2019-07-21,Energia Eólica,3
2019-07-28,Eficiência Energética,1
2019-07-28,Energia Elétrica,19
2019-07-28,Energia Solar,54
2019-07-28,Energia Eólica,4
2019-08-04,Eficiência Energética,1
2019-08-04,Energia Elétrica,19
2019-08-04,Energia Solar,61
2019-08-04,Energia Eólica,8
2019-08-11,Eficiência Energética,1
2019-08-11,Energia Elétrica,22
2019-08-11,Energia Solar,62
2019-08-11,Energia Eólica,9
2019-08-18,Eficiência Energética,1
2019-08-18,Energia Elétrica,25
2019-08-18,Energia Solar,59
2019-08-18,Energia Eólica,8
2019-08-25,Eficiência Energética,1
2019-08-25,Energia Elétrica,24
2019-08-25,Energia Solar,61
2019-08-25,Energia Eólica,9
2019-09-01,Eficiência Energética,1
2019-09-01,Energia Elétrica,24
2019-09-01,Energia Solar,59
2019-09-01,Energia Eólica,8
2019-09-08,Eficiência Energética,1
2019-09-08,Energia Elétrica,26
2019-09-08,Energia Solar,71
2019-09-08,Energia Eólica,8
2019-09-15,Eficiência Energética,1
2019-09-15,Energia Elétrica,28
2019-09-15,Energia Solar,67
2019-09-15,Energia Eólica,9
2019-09-22,Eficiência Energética,1
2019-09-22,Energia Elétrica,27
2019-09-22,Energia Solar,69
2019-09-22,Energia Eólica,8
2019-09-29,Eficiência Energética,1
2019-09-29,Energia Elétrica,24
2019-09-29,Energia Solar,62
2019-09-29,Energia Eólica,7
2019-10-06,Eficiência Energética,1
2019-10-06,Energia Elétrica,23
2019-10-06,Energia Solar,57
2019-10-06,Energia Eólica,6
2019-10-13,Eficiência Energética,1
2019-10-13,Energia Elétrica,21
2019-10-13,Energia Solar,71
2019-10-13,Energia Eólica,6
2019-10-20,Eficiência Energética,1
