termo,título,link,valor (%),período
Eficiência Energética,Energy,https://trends.google.com/trends/explore?q=/m/02mm_&date=today+12-m&geo=BR,100,1 ano
Eficiência Energética,Efficiency,https://trends.google.com/trends/explore?q=/m/0119nfsk&date=today+12-m&geo=BR,91,1 ano
Eficiência Energética,Efficient energy use,https://trends.google.com/trends/explore?q=/m/02rz0ly&date=today+12-m&geo=BR,91,1 ano
Eficiência Energética,Sustainability,https://trends.google.com/trends/explore?q=/m/0hkst&date=today+12-m&geo=BR,9,1 ano
Eficiência Energética,Natural environment,https://trends.google.com/trends/explore?q=/m/02py09&date=today+12-m&geo=BR,8,1 ano
Eficiência Energética,Technology,https://trends.google.com/trends/explore?q=/m/07c1v&date=today+12-m&geo=BR,8,1 ano
Eficiência Energética,Consumption,https://trends.google.com/trends/explore?q=/m/02r5ml&date=today+12-m&geo=BR,8,1 ano
Eficiência Energética,System,https://trends.google.com/trends/explore?q=/m/0bj6r&date=today+12-m&geo=BR,7,1 ano
Eficiência Energética,Electrical energy,https://trends.google.com/trends/explore?q=/m/0n5wc2k&date=today+12-m&geo=BR,6,1 ano
Eficiência Energética,Air,https://trends.google.com/trends/explore?q=/g/1223qwg4&date=today+12-m&geo=BR,6,1 ano
Eficiência Energética,Renewable energy,https://trends.google.com/trends/explore?q=/m/06fhs&date=today+12-m&geo=BR,6,1 ano
Eficiência Energética,Project,https://trends.google.com/trends/explore?q=/m/0156dy&date=today+12-m&geo=BR,6,1 ano
Eficiência Energética,process,https://trends.google.com/trends/explore?q=/g/122q4xxl&date=today+12-m&geo=BR,5,1 ano
Eficiência Energética,Fuel,https://trends.google.com/trends/explore?q=/m/02ywd&date=today+12-m&geo=BR,5,1 ano
Eficiência Energética,Economics,https://trends.google.com/trends/explore?q=/m/02j62&date=today+12-m&geo=BR,5,1 ano
Eficiência Energética,Air conditioning,https://trends.google.com/trends/explore?q=/m/025wky1&date=today+12-m&geo=BR,5,1 ano
Eficiência Energética,Production,https://trends.google.com/trends/explore?q=/m/0806jls&date=today+12-m&geo=BR,4,1 ano
